date,store,item,sales
1/1/13,3,11,37
1/2/13,3,11,43
1/3/13,3,11,34
1/4/13,3,11,52
1/5/13,3,11,45
1/6/13,3,11,46
1/7/13,3,11,11
1/8/13,3,11,33
1/9/13,3,11,33
1/10/13,3,11,40
1/11/13,3,11,34
1/12/13,3,11,46
1/13/13,3,11,29
1/14/13,3,11,29
1/15/13,3,11,32
1/16/13,3,11,32
1/17/13,3,11,37
1/18/13,3,11,30
1/19/13,3,11,48
1/20/13,3,11,43
1/21/13,3,11,25
1/22/13,3,11,29
1/23/13,3,11,26
1/24/13,3,11,32
1/25/13,3,11,30
1/26/13,3,11,32
1/27/13,3,11,55
1/28/13,3,11,34
1/29/13,3,11,28
1/30/13,3,11,28
1/31/13,3,11,40
2/1/13,3,11,44
2/2/13,3,11,52
2/3/13,3,11,49
2/4/13,3,11,25
2/5/13,3,11,47
2/6/13,3,11,34
2/7/13,3,11,36
2/8/13,3,11,40
2/9/13,3,11,41
2/10/13,3,11,52
2/11/13,3,11,27
2/12/13,3,11,47
2/13/13,3,11,36
2/14/13,3,11,43
2/15/13,3,11,38
2/16/13,3,11,50
2/17/13,3,11,56
2/18/13,3,11,43
2/19/13,3,11,34
2/20/13,3,11,31
2/21/13,3,11,47
2/22/13,3,11,45
2/23/13,3,11,55
2/24/13,3,11,50
2/25/13,3,11,32
2/26/13,3,11,37
2/27/13,3,11,32
2/28/13,3,11,35
3/1/13,3,11,58
3/2/13,3,11,51
3/3/13,3,11,74
3/4/13,3,11,40
3/5/13,3,11,46
3/6/13,3,11,35
3/7/13,3,11,45
3/8/13,3,11,48
3/9/13,3,11,52
3/10/13,3,11,58
3/11/13,3,11,34
3/12/13,3,11,54
3/13/13,3,11,50
3/14/13,3,11,47
3/15/13,3,11,45
3/16/13,3,11,63
3/17/13,3,11,51
3/18/13,3,11,34
3/19/13,3,11,41
3/20/13,3,11,42
3/21/13,3,11,51
3/22/13,3,11,48
3/23/13,3,11,52
3/24/13,3,11,51
3/25/13,3,11,41
3/26/13,3,11,37
3/27/13,3,11,40
3/28/13,3,11,44
3/29/13,3,11,43
3/30/13,3,11,62
3/31/13,3,11,51
4/1/13,3,11,50
4/2/13,3,11,48
4/3/13,3,11,52
4/4/13,3,11,64
4/5/13,3,11,55
4/6/13,3,11,68
4/7/13,3,11,68
4/8/13,3,11,50
4/9/13,3,11,57
4/10/13,3,11,52
4/11/13,3,11,50
4/12/13,3,11,70
4/13/13,3,11,70
4/14/13,3,11,60
4/15/13,3,11,39
4/16/13,3,11,64
4/17/13,3,11,58
4/18/13,3,11,51
4/19/13,3,11,62
4/20/13,3,11,69
4/21/13,3,11,69
4/22/13,3,11,48
4/23/13,3,11,37
4/24/13,3,11,42
4/25/13,3,11,52
4/26/13,3,11,56
4/27/13,3,11,65
4/28/13,3,11,61
4/29/13,3,11,50
4/30/13,3,11,57
5/1/13,3,11,54
5/2/13,3,11,57
5/3/13,3,11,56
5/4/13,3,11,75
5/5/13,3,11,72
5/6/13,3,11,51
5/7/13,3,11,49
5/8/13,3,11,58
5/9/13,3,11,65
5/10/13,3,11,67
5/11/13,3,11,69
5/12/13,3,11,79
5/13/13,3,11,34
5/14/13,3,11,59
5/15/13,3,11,48
5/16/13,3,11,54
5/17/13,3,11,66
5/18/13,3,11,71
5/19/13,3,11,77
5/20/13,3,11,44
5/21/13,3,11,48
5/22/13,3,11,57
5/23/13,3,11,63
5/24/13,3,11,69
5/25/13,3,11,69
5/26/13,3,11,74
5/27/13,3,11,38
5/28/13,3,11,41
5/29/13,3,11,65
5/30/13,3,11,55
5/31/13,3,11,67
6/1/13,3,11,70
6/2/13,3,11,71
6/3/13,3,11,52
6/4/13,3,11,61
6/5/13,3,11,73
6/6/13,3,11,73
6/7/13,3,11,66
6/8/13,3,11,68
6/9/13,3,11,67
6/10/13,3,11,39
6/11/13,3,11,66
6/12/13,3,11,60
6/13/13,3,11,54
6/14/13,3,11,52
6/15/13,3,11,57
6/16/13,3,11,63
6/17/13,3,11,45
6/18/13,3,11,66
6/19/13,3,11,60
6/20/13,3,11,59
6/21/13,3,11,69
6/22/13,3,11,85
6/23/13,3,11,92
6/24/13,3,11,56
6/25/13,3,11,55
6/26/13,3,11,67
6/27/13,3,11,72
6/28/13,3,11,70
6/29/13,3,11,71
6/30/13,3,11,78
7/1/13,3,11,51
7/2/13,3,11,68
7/3/13,3,11,63
7/4/13,3,11,76
7/5/13,3,11,73
7/6/13,3,11,72
7/7/13,3,11,62
7/8/13,3,11,50
7/9/13,3,11,65
7/10/13,3,11,57
7/11/13,3,11,66
7/12/13,3,11,63
7/13/13,3,11,76
7/14/13,3,11,78
7/15/13,3,11,52
7/16/13,3,11,70
7/17/13,3,11,65
7/18/13,3,11,75
7/19/13,3,11,70
7/20/13,3,11,77
7/21/13,3,11,85
7/22/13,3,11,48
7/23/13,3,11,66
7/24/13,3,11,60
7/25/13,3,11,62
7/26/13,3,11,58
7/27/13,3,11,80
7/28/13,3,11,86
7/29/13,3,11,46
7/30/13,3,11,68
7/31/13,3,11,58
8/1/13,3,11,57
8/2/13,3,11,59
8/3/13,3,11,57
8/4/13,3,11,70
8/5/13,3,11,56
8/6/13,3,11,58
8/7/13,3,11,49
8/8/13,3,11,56
8/9/13,3,11,57
8/10/13,3,11,78
8/11/13,3,11,80
8/12/13,3,11,59
8/13/13,3,11,52
8/14/13,3,11,48
8/15/13,3,11,45
8/16/13,3,11,58
8/17/13,3,11,77
8/18/13,3,11,73
8/19/13,3,11,53
8/20/13,3,11,75
8/21/13,3,11,56
8/22/13,3,11,74
8/23/13,3,11,59
8/24/13,3,11,70
8/25/13,3,11,58
8/26/13,3,11,41
8/27/13,3,11,49
8/28/13,3,11,71
8/29/13,3,11,54
8/30/13,3,11,73
8/31/13,3,11,80
9/1/13,3,11,59
9/2/13,3,11,50
9/3/13,3,11,43
9/4/13,3,11,47
9/5/13,3,11,59
9/6/13,3,11,61
9/7/13,3,11,69
9/8/13,3,11,66
9/9/13,3,11,45
9/10/13,3,11,50
9/11/13,3,11,44
9/12/13,3,11,61
9/13/13,3,11,53
9/14/13,3,11,71
9/15/13,3,11,70
9/16/13,3,11,37
9/17/13,3,11,61
9/18/13,3,11,67
9/19/13,3,11,47
9/20/13,3,11,58
9/21/13,3,11,63
9/22/13,3,11,62
9/23/13,3,11,52
9/24/13,3,11,52
9/25/13,3,11,50
9/26/13,3,11,62
9/27/13,3,11,63
9/28/13,3,11,58
9/29/13,3,11,74
9/30/13,3,11,43
10/1/13,3,11,39
10/2/13,3,11,51
10/3/13,3,11,57
10/4/13,3,11,58
10/5/13,3,11,45
10/6/13,3,11,57
10/7/13,3,11,46
10/8/13,3,11,48
10/9/13,3,11,42
10/10/13,3,11,53
10/11/13,3,11,54
10/12/13,3,11,58
10/13/13,3,11,50
10/14/13,3,11,32
10/15/13,3,11,49
10/16/13,3,11,49
10/17/13,3,11,56
10/18/13,3,11,55
10/19/13,3,11,51
10/20/13,3,11,66
10/21/13,3,11,59
10/22/13,3,11,57
10/23/13,3,11,50
10/24/13,3,11,55
10/25/13,3,11,54
10/26/13,3,11,55
10/27/13,3,11,72
10/28/13,3,11,39
10/29/13,3,11,46
10/30/13,3,11,57
10/31/13,3,11,49
11/1/13,3,11,68
11/2/13,3,11,54
11/3/13,3,11,67
11/4/13,3,11,48
11/5/13,3,11,40
11/6/13,3,11,49
11/7/13,3,11,47
11/8/13,3,11,53
11/9/13,3,11,47
11/10/13,3,11,52
11/11/13,3,11,36
11/12/13,3,11,56
11/13/13,3,11,51
11/14/13,3,11,57
11/15/13,3,11,60
11/16/13,3,11,55
11/17/13,3,11,56
11/18/13,3,11,42
11/19/13,3,11,47
11/20/13,3,11,48
11/21/13,3,11,65
11/22/13,3,11,75
11/23/13,3,11,66
11/24/13,3,11,72
11/25/13,3,11,53
11/26/13,3,11,54
11/27/13,3,11,51
11/28/13,3,11,49
11/29/13,3,11,55
11/30/13,3,11,50
12/1/13,3,11,42
12/2/13,3,11,33
12/3/13,3,11,50
12/4/13,3,11,42
12/5/13,3,11,36
12/6/13,3,11,39
12/7/13,3,11,42
12/8/13,3,11,52
12/9/13,3,11,31
12/10/13,3,11,28
12/11/13,3,11,35
12/12/13,3,11,42
12/13/13,3,11,38
